FF25DA290A8D9AEE3263302DAF97154FFF0828DB61FE145A131F50E5DA4C4F0C *C:\Users\Spenc\OneDrive\Desktop\Palantir Technologies Inc. (HQ Denver, CO  Palo Alto, CA)\Forensic Evidence_ Timestamp Impossibility of “Independent Invention”.docx
C4888F284BA2CAE100C29B0B5A67BC4C21851C0AEB526495D6059C14192C6731 *C:\Users\Spenc\OneDrive\Desktop\Palantir Technologies Inc. (HQ Denver, CO  Palo Alto, CA)\Forensic Evidence_ Timestamp Impossibility of “Independent Invention”.md
7F520E007A52299351B5507E38ED1FF0D5934C5940F32EC001AD40735CE166D3 *C:\Users\Spenc\OneDrive\Desktop\Palantir Technologies Inc. (HQ Denver, CO  Palo Alto, CA)\Forensic Evidence_ Timestamp Impossibility of “Independent Invention”.pdf
210692BD7D7DF69DD957D6CDC5251CDCBF88FF8D5D9CEFDC8DE22BAE9DB52C91 *C:\Users\Spenc\OneDrive\Desktop\Palantir Technologies Inc. (HQ Denver, CO  Palo Alto, CA)\general-Munitions-JADC2-native_2.pdf
6685AD2061D782924E3820968243E356E572FC250D92415C29234AE83B86B49F *C:\Users\Spenc\OneDrive\Desktop\Palantir Technologies Inc. (HQ Denver, CO  Palo Alto, CA)\hashes.txt
BDF0B156A777470464EB250827AF474C06B7797887351053ED5EBA4468B191B3 *C:\Users\Spenc\OneDrive\Desktop\Palantir Technologies Inc. (HQ Denver, CO  Palo Alto, CA)\Palantir JADC2-native Systems with Operational Reflex and ICAM Control Layers.docx
6CBE5C152782F8A12C86DB39663493FE3686B16738828F95EF43B3AD12A2BE34 *C:\Users\Spenc\OneDrive\Desktop\Palantir Technologies Inc. (HQ Denver, CO  Palo Alto, CA)\Palantir JADC2-native Systems with Operational Reflex and ICAM Control Layers.pdf
46BFA8ECE2C96B25D4BACCEE5EB4B2AB5D7CED62F8B22B8037D11B5F93161650 *C:\Users\Spenc\OneDrive\Desktop\Palantir Technologies Inc. (HQ Denver, CO  Palo Alto, CA)\Proof of Retroactive SSPS IP Absorption.docx
4B15AF2C6AE9F7937725CCCA522E8CD64D7590E5C2133C84446F90FE42FC4536 *C:\Users\Spenc\OneDrive\Desktop\Palantir Technologies Inc. (HQ Denver, CO  Palo Alto, CA)\Proof of Retroactive SSPS IP Absorption.md
C51AF6D9958CADC785249764B3098083E2B87512F5EA6F543D47EB24ACEDA0A9 *C:\Users\Spenc\OneDrive\Desktop\Palantir Technologies Inc. (HQ Denver, CO  Palo Alto, CA)\Proof of Retroactive SSPS IP Absorption.pdf
16F81FE8A766F77652D7F07A673E059E21ED635CF64CA3EB73E21C3BF9AA33E1 *C:\Users\Spenc\OneDrive\Desktop\Palantir Technologies Inc. (HQ Denver, CO  Palo Alto, CA)\Screenshot 2025-12-14 103504.png
